State,Logic,Entry,Exit,Active
Request Identification,Request identification logic,2024-11-25T09:00:00Z,2024-11-26T16:30:00Z,FALSE
Request Drafted,Request drafted logic,2024-11-26T16:30:00Z,2024-11-28T11:15:00Z,FALSE
Draft Review,Draft review logic,2024-11-28T11:15:00Z,2024-11-29T10:00:00Z,FALSE
Ready to Send,Ready to send logic,2024-11-29T10:00:00Z,2024-11-29T14:20:00Z,FALSE
Request Sent,Request sent logic,2024-11-29T14:20:00Z,2024-12-02T09:30:00Z,FALSE
Initial Request In Review,Initial request in review logic,2024-12-02T09:30:00Z,2024-12-05T15:45:00Z,FALSE
Initial Response,Initial response logic,2024-12-05T15:45:00Z,2024-12-10T10:15:00Z,FALSE
Data Request In Review,Data request in review logic,2024-12-10T10:15:00Z,2024-12-15T13:40:00Z,FALSE
Terminated,Terminated logic,2024-12-16T10:15:00Z,2024-12-17T13:40:00Z,FALSE
Final Response,Final response logic,2024-12-18T11:00:00Z,,TRUE
Data Received,Data received logic,,,FALSE
RTI Data Is Live,RTI data is live logic,,,FALSE
